UID,SEG,translation,profanity
METALW-003527-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-003527-0001,Necesito ayuda,I need help,None
METALW-003527-0002,seguro,sure,None
METALW-003527-0003,cuánto espacio se necesita para el gato,how much space is needed for the cat,None
METALW-003527-0004,alrededor de 2000 pies cuadrados según pet.com,about 2000 square feet depending on pet.com,None
METALW-003527-0005,Tengo apartamento de 1500 pies cuadrados,I have 1500 square feet apartment,None
METALW-003527-0006,eso es demasiado pequeño para un tigre,that's too small for a tiger,None
METALW-003527-0007,gato doméstico,house cat,None
METALW-003527-0008,Seguro gato de la casa me dejó comprobar 200 pies cuadrados,Sure house cat let me check 200 square feet,None
METALW-003527-0009,"perfecto, gracias","perfect, thank you",None
METALW-003527-0010,¿Algo más?,Anything else?,None
METALW-003528-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-003528-0001,Hola necesito un consejo sobre mis perros,Hello I need some advice about my dogs,None
METALW-003528-0002,Puedo ayudarte con eso,I can help you with that.,None
METALW-003528-0003,Necesito saber cuánta comida para perros debería estar pasando en una semana,I need to know how much dog food should be going on in a week.,None
METALW-003528-0004,¿Qué tipo de perros son?,What kind of dogs are they?,None
METALW-003528-0005,Tengo cuatro caniches pequeños,I have four small poodles,None
METALW-003528-0006,Es seguro para cada othe ellos tener un máximo de 1 taza al día y algunos árboles en la parte superior de que cómo mugh pesan? Sólo para asegurarse de,Is it safe for each othe them to have a maximum of 1 cup a day and some trees on top of that how mugh weigh? Just to make sure,None
METALW-003528-0007,Pesan alrededor de 8 libras por paz,Weigh about 8 pounds for peace,None
METALW-003528-0008,"Sí, una taza al día","Yes, one cup a day",None
METALW-003528-0009,pedazo,piece,None
METALW-003528-0010,¿Algo más?,Anything else?,None
METALW-003528-0011,perfecto,perfect,None
METALW-003529-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-003529-0001,Necesito un consejo.,I need some advice.,None
METALW-003529-0002,¿Qué es?,What is it?,None
METALW-003529-0003,Se trata de mi mascota,It's about my pet,None
METALW-003529-0004,¿Qué ha pasado?,What happened?,None
METALW-003529-0005,Quiero saber cuánta comida para perros debo pasar en una semana.,I want to know how much dog food I have to spend in a week.,None
METALW-003529-0006,¿Qué clase de perro es?,What kind of dog is he?,None
METALW-003529-0007,Un huskie,A Huskie,None
METALW-003529-0008,"usted puede darle una comida para perros ordinaria, pero debe ser una porción más grande para cada comida","you can give him an ordinary dog meal, but it should be a bigger serving for each meal",None
METALW-003529-0009,Bien. gracias,Not bad. Thank you,None
METALW-003529-0010,Bien,Not bad,None
METALW-003530-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-003530-0001,Necesito un consejo.,I need some advice.,None
METALW-003530-0002,"seguro, encantado de ayudar","sure, happy to help",None
METALW-003530-0003,Por mi perro.,To my dog.,None
METALW-003530-0004,"Ok, ¿qué clase de excavación?","Okay, what kind of digging?",None
METALW-003530-0005,Es un beagle.,It's a beagle.,None
METALW-003530-0006,¿perro? ¿Necesitas ayuda?,dog? You need help?,None
METALW-003530-0007,¿Cuánto debería comer una semana?,How much should I eat for a week?,None
METALW-003530-0008,por lo general beagles deben comer 7 libras si la comida cada semana,usually beagles should eat 7 pounds if the food every week,None
METALW-003530-0009,"¡Vaya, gracias!","Well, thank you!",None
METALW-003530-0010,De nada,You are welcome,None
METALW-003531-0000,"Hola, ¿en qué puedo ayudarle? hey allí hey","Hi, how can I help you? hey there hey",None
METALW-003531-0001,no es necesario spam,no spam needed,None
METALW-003531-0002,ralentizas lo que quieres,you slow down what you want,None
METALW-003531-0003,voy a informar de usted,I'm going to report you,None
METALW-003531-0004,Lol estoy aquí para ayudarte,"Lol, I'm here to help you.",None
METALW-003531-0005,"bueno, usted no está ayudando","well, you're not helping",None
METALW-003531-0006,"Usted no está preguntando todavía, así que obviamente noy TODAVÍA no","You're not asking yet, so obviously noy STILL not",None
METALW-003531-0007,"bueno usted lo dijo usted mismo, soy lento, así que me tomaré mi tiempo","well you said it yourself, I'm slow, so I'll take my time",None
METALW-003531-0008,"oh, lo siento bien ir","oh, I'm sorry to go",None
METALW-003531-0009,Adiós,Good bye,None
METALW-003531-0010,K,K,None
METALW-003532-0000,"Hola, ¿en qué puedo ayudarte?","Hi, how can I help you?",None
METALW-003532-0001,"Hola, ¿podrías darme información sobre mascotas?","Hey, could you give me some pet information?",None
METALW-003532-0002,"¡Sí, puedo! ¿Qué información necesita?","Yes, I can! What information do you need?",None
METALW-003532-0003,"Acabo de comprar un nuevo apartamento y un nuevo gato mascota, ¿cuánto espacio necesitaría para mi nueva mascota?","I just bought a new apartment and a new pet cat, how much space would I need for my new pet?",None
METALW-003532-0004,Los gatos necesitan aproximadamente 400 pies cuadrados de espacio.,Cats need approximately 400 square feet of space.,None
METALW-003532-0005,¿Qué se incluye en los 400 pies cuadrados? Quiero asegurarme de que mi gato viva lujosamente.,What is included in the 400 square feet? I want to make sure my cat lives luxuriously.,None
METALW-003532-0006,"Los gatos necesitan espacio para dormir, pero también para caminar tranquilamente.","Cats need room to sleep, but also to walk quietly.",None
METALW-003532-0007,¿Es suficiente espacio para comprarle a mi gato una de esas pequeñas casas para jugar y una bandeja higiénica?,Is it enough room to buy my cat one of those little houses to play with and a lit tray?,None
METALW-003532-0008,"¡Debería ser suficiente! Sin embargo, nunca puedes equivocarse con más espacio.","That should be enough! However, you can never go wrong with more space.",None
METALW-003532-0009,"Cierto, mi apartamento es relativamente grande, gracias por su ayuda!","Right, my apartment is relatively large, thank you for your help!",None
METALW-003532-0010,De nada,You are welcome,None
METALW-003533-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-003533-0001,ayúdame con mascotas,help me with pets,None
METALW-003533-0002,Me encantaría. ¿Con qué necesitas ayuda?,I'd love to. What do you need help with?,None
METALW-003533-0003,Tengo un gato en mi apartamento. ¿Cuánto espacio necesito?,I have a cat in my apartment. How much space do I need?,None
METALW-003533-0004,Los gatos no requieren tanto espacio. ¿Qué tan grande es tu apartamento?,Cats don't require that much space. How big is your apartment?,None
METALW-003533-0005,tengo alrededor de 900 pies cuadrados en el apartamento,I have about 900 square feet in the apartment,None
